timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2024-04-10 00:00:00+00:00,69146.0,69146.01,69100.0,69128.02,18.98405,1712707259999,1312312.0062771,1004,8.97609,620442.3300547,0
2024-04-10 00:01:00+00:00,69128.01,69128.02,69100.0,69110.92,16.55567,1712707319999,1144221.9105475,649,3.1149,215257.6736821,0
2024-04-10 00:02:00+00:00,69110.93,69124.0,69101.2,69104.32,19.89709,1712707379999,1375188.8970906,812,3.59919,248750.5228717,0
2024-04-10 00:03:00+00:00,69104.31,69125.0,69104.31,69125.0,13.9162,1712707439999,961852.8201362,637,6.695,462694.6338267,0
2024-04-10 00:04:00+00:00,69124.99,69125.2,69100.0,69100.01,28.04073,1712707499999,1938255.831022,742,13.68181,945715.3059964,0
2024-04-10 00:05:00+00:00,69100.0,69124.0,69100.0,69106.91,11.96893,1712707559999,827221.6717479,751,6.49483,448889.5099591,0
2024-04-10 00:06:00+00:00,69106.9,69143.99,69106.9,69141.99,4.51721,1712707619999,312269.5959219,581,2.88351,199316.9865525,0
2024-04-10 00:07:00+00:00,69141.99,69142.0,69137.99,69142.0,10.63898,1712707679999,735594.5561323,585,3.44841,238426.5860133,0
2024-04-10 00:08:00+00:00,69141.99,69212.97,69141.99,69212.96,11.84774,1712707739999,819518.5632363,740,10.35599,716336.1187159,0
2024-04-10 00:09:00+00:00,69212.97,69228.0,69180.23,69223.29,15.97915,1712707799999,1105782.9358821,875,8.21066,568203.6314496,0
2024-04-10 00:10:00+00:00,69223.3,69270.0,69223.29,69269.99,14.92922,1712707859999,1033799.4558338,797,9.70718,672196.54659,0
2024-04-10 00:11:00+00:00,69270.0,69275.64,69244.32,69249.96,8.43314,1712707919999,584067.5014834,645,2.40172,166319.6073014,0
2024-04-10 00:12:00+00:00,69249.97,69286.19,69249.96,69286.18,8.62404,1712707979999,597362.295235,577,7.12295,493386.8800244,0
2024-04-10 00:13:00+00:00,69286.18,69300.0,69272.03,69272.03,16.19304,1712708039999,1122139.7769745,779,3.79546,263008.6868672,0
2024-04-10 00:14:00+00:00,69272.04,69284.0,69272.0,69272.0,6.94063,1712708099999,480849.11525,438,2.55663,177113.7646467,0
2024-04-10 00:15:00+00:00,69272.0,69300.38,69272.0,69281.08,10.78047,1712708159999,746978.5142404,543,3.13041,216898.9901145,0
2024-04-10 00:16:00+00:00,69281.08,69295.16,69268.01,69295.16,7.89303,1712708219999,546872.0427609,462,4.44654,308068.0646802,0
2024-04-10 00:17:00+00:00,69295.16,69295.16,69257.28,69257.29,6.79441,1712708279999,470657.93619,495,0.49003,33947.1982864,0
2024-04-10 00:18:00+00:00,69257.29,69257.29,69220.07,69220.08,14.27725,1712708339999,988532.2650847,855,3.77299,261217.6017704,0
2024-04-10 00:19:00+00:00,69220.08,69240.84,69220.07,69240.83,5.08158,1712708399999,351826.9818731,351,2.83689,196403.7720099,0
2024-04-10 00:20:00+00:00,69240.83,69240.84,69200.0,69219.99,12.5644,1712708459999,869776.8672801,619,2.50993,173721.5574304,0
2024-04-10 00:21:00+00:00,69219.99,69228.6,69209.0,69216.13,21.47646,1712708519999,1486659.9027404,603,3.15733,218546.8423973,0
2024-04-10 00:22:00+00:00,69216.13,69220.0,69213.07,69213.07,3.42769,1712708579999,237248.3426164,252,1.15158,79707.7363288,0
2024-04-10 00:23:00+00:00,69213.08,69247.79,69213.07,69247.79,20.95259,1712708639999,1450429.2235931,538,18.82605,1303220.7839053,0
2024-04-10 00:24:00+00:00,69247.79,69247.79,69224.0,69245.02,11.24874,1712708699999,778770.8324548,562,6.68577,462834.6085852,0
2024-04-10 00:25:00+00:00,69245.03,69284.0,69245.02,69284.0,6.80582,1712708759999,471429.807907,422,6.16398,426970.1801846,0
2024-04-10 00:26:00+00:00,69283.99,69295.16,69283.99,69295.15,5.10278,1712708819999,353558.1153999,331,3.78376,262166.8778725,0
2024-04-10 00:27:00+00:00,69295.15,69304.26,69288.0,69297.06,11.40299,1712708879999,790234.4439535,535,2.89546,200653.1919014,0
2024-04-10 00:28:00+00:00,69297.06,69297.07,69263.99,69264.0,11.08716,1712708939999,768243.0033856,481,0.94916,65764.4811308,0
2024-04-10 00:29:00+00:00,69263.99,69274.99,69263.99,69271.79,5.02502,1712708999999,348094.1892539,324,2.27026,157262.0696333,0
2024-04-10 00:30:00+00:00,69271.8,69296.0,69271.79,69280.01,20.67725,1712709059999,1432508.7375123,515,17.80466,1233469.964273,0
2024-04-10 00:31:00+00:00,69280.0,69280.01,69232.0,69235.99,17.31048,1712709119999,1198953.7251143,687,4.92214,340864.6496298,0
